"","X","match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"1",1,"2000-08-19","Charlton","Man City","Dean Kiely","Richard Rufus","Carl Tiler","Radostin Kishishev","Chris Powell","Claus Jensen","Mark Kinsella","John Robinson","Graham Stuart","Andy Hunt","Kevin Lisbie","Nicky Weaver","Richard Edghill","Gerard Wiekens","Steve Howey","Spencer Prior","Alfe-Inge Haaland","Danny Tiatto","Kevin Horlock","Mark Kennedy","Paulo Wanchope","George Weah"
"2",2,"2000-08-19","Chelsea","West Ham","Ed De Goey","Mario Melchiot","Christian Panucci","Marcel Desailly","Celestine Babayaro","Roberto Di Matteo","Gus Poyet","Mario Stanic","Dennis Wise","Jimmy Floyd Hasselbaink","Gianfranco Zola","Shaka Hislop","Stuart Pearce","Igor Stimac","Javier Margas","Nigel Winterburn","Michael Carrick","Frank Lampard","Steve Lomas","Paolo Di Canio","Frederic Kanoute","Davor Suker"
"3",3,"2000-08-19","Coventry","Middlesbrough","Magnus Hedman","Gary Breen","Colin Hendry","Paul D Williams","Marcus Hall","Youssef Chippo","John Eustace","Carlton Palmer","David Thompson","Craig Bellamy","Cedric Roussel","Mark Schwarzer","Curtis Fleming","Steve Vickers","Colin Cooper","Gary Pallister","Paul Ince","Christian Karembeu","Keith O'Neill","Alen Boksic","Brian Deane","Joseph-Desire Job"
"4",4,"2000-08-19","Derby","Southampton","Mart Poom","Danny Higginbotham","Con Blatsis","Bjorn Otto Bragstad","Rory Delap","Stefano Eranio","Seth Johnson","Darryl Powell","Simo Valakari","Lee Morris","Branko Strupar","Paul Jones","Jason Dodd","Claus Lundekvam","Tahar El Khalej","Wayne Bridge","Mark Draper","Hassan Kachloul","Chris Marsden","Matt Oakley","Kevin Davies","Uwe Rosler"
"5",5,"2000-08-19","Leeds","Everton","Nigel Martyn","Garry Kelly","Lucas Radebe","Jonathan Woodgate","Ian Harte","Eirik Bakke","Lee Bowyer","Olivier Dacourt","Alan Smith","Michael Bridges","Mark Viduka","Paul Gerrard","Alessandro Pistone","David Unsworth","Steve Watson","David Weir","Michael Ball","Scot Gemmill","Stephen Hughes","Alex Nyarko","Mark Hughes","Francis Jeffers"
"6",6,"2000-08-19","Leicester","Aston Villa","Tim Flowers","Gary Rowett","Matt Elliott","Gerry Taggart","Callum Davidson","Andy Impey","Muzzy Izzet","Neil Lennon","Robbie Savage","Ade Akinbiyi","Stan Collymore","David James"," Alpay Ozalan","Gareth Southgate","Dion Dublin","Gareth Barry","Alan Wright","George Boateng","David Ginola","Lee Hendrie","Paul Merson","Steve Stone"
"7",7,"2000-08-19","Liverpool","Bradford","Sander Westerveld","Markus Babbel","Djimi Traore","Stephane Henchoz","Sami Hyypia","Steven Gerrard","Dietmar Hamann","Vladimir Smicer","Nick Barmby","Emile Heskey","Michael Owen","Matt Clarke","Peter Atherton","Andy O'Brien","David Wetherall","Dan Petrescu","Ian Nolan","David Hopkin","Stuart McCall","Lee Sharpe","Gareth Whalley","Dean Windass"
"8",8,"2000-08-19","Sunderland","Arsenal","Thomas Sorensen","Chris Makin","Paul Butler","Stanislav Varga","Darren Holloway","Kevin Kilbane","Michael Gray","Eric Roy","Paul Thirlwell","Kevin Phillips","Niall Quinn","David Seaman","Lee Dixon","Tony Adams","Martin Keown","Gilles Grimandi"," Silvinho","Freddie Ljungberg","Ray Parlour","Patrick Vieira","Thierry Henry","Nwankwo Kanu"
"9",9,"2000-08-19","Tottenham","Ipswich","Neil Sullivan","Stephen Carr","Sol Campbell","Chris Perry","Ben Thatcher","Darren Anderton","Steffen Freund","Oyvind Leonhardsen","Tim Sherwood","Steffen Iversen","Sergei Rebrov","Richard Wright","Titus Bramble","Hermann Hreidarsson","Mark Venus","Jamie Clapham","Gary Croft","Matt Holland","Jim Magilton","James Scowcroft","David Johnson","Marcus Stewart"
"10",10,"2000-08-20","Man United","Newcastle","Fabien Barthez","Gary Neville","Ronny Johnsen","Jaap Stam","Phil Neville","David Beckham","Ryan Giggs","Roy Keane","Paul Scholes","Andrew Cole","Teddy Sheringham","Shay Given","Warren Barton","Aaron Hughes","Nikos Dabizas","Alain Goma"," Marcelino","Gary Speed","Daniel Cordone","Rob Lee","Carl Cort","Alan Shearer"
"11",11,"2000-08-21","Arsenal","Liverpool","David Seaman","Oleg Luzhny","Tony Adams","Martin Keown","Gilles Grimandi","Bissan Lauren"," Silvinho","Robert Pires","Patrick Vieira","Dennis Bergkamp","Thierry Henry","Sander Westerveld","Markus Babbel","Djimi Traore","Stephane Henchoz","Sami Hyypia","Jamie Carragher","Dietmar Hamann","Gary McAllister","Vladimir Smicer","Nick Barmby","Emile Heskey"
"12",12,"2000-08-22","Bradford","Chelsea","Matt Clarke","Peter Atherton","Andy O'Brien","David Wetherall","Dan Petrescu","Ian Nolan","David Hopkin","Stuart McCall","Lee Sharpe","Benito Carbone","Dean Windass","Ed De Goey","Mario Melchiot","Marcel Desailly","Emerson Thome","Celestine Babayaro","Roberto Di Matteo","Jody Morris","Gus Poyet","Dennis Wise","Jimmy Floyd Hasselbaink","Gianfranco Zola"
"13",13,"2000-08-22","Ipswich","Man United","Richard Wright","Titus Bramble","Hermann Hreidarsson","Mark Venus","Jamie Clapham","Fabian Wilnis","Jermaine Wright","Matt Holland","Jim Magilton","David Johnson","Marcus Stewart","Fabien Barthez","Gary Neville","Jaap Stam","Phil Neville","David Beckham","Ryan Giggs","Roy Keane","Paul Scholes","Ronnie Wallwork","Ole Gunnar Solskjaer","Dwight Yorke"
"14",14,"2000-08-22","Middlesbrough","Tottenham","Mark Schwarzer","Curtis Fleming","Steve Vickers","Gary Pallister","Christian Karembeu","Keith O'Neill","Paul Okon","Mark Summerbell","Brian Deane","Joseph-Desire Job","Hamilton Ricard","Neil Sullivan","Stephen Carr","Sol Campbell","Chris Perry","Ben Thatcher","Darren Anderton","Steffen Freund","Oyvind Leonhardsen","Tim Sherwood","Steffen Iversen","Sergei Rebrov"
"15",15,"2000-08-23","Everton","Charlton","Paul Gerrard","Alessandro Pistone","Steve Watson","David Weir","Richard Gough","Paul Gascoigne","Thomas Gravesen","Stephen Hughes","Alex Nyarko","Mark Hughes","Francis Jeffers","Dean Kiely","Richard Rufus","Carl Tiler","Radostin Kishishev","Chris Powell","Claus Jensen","Mark Kinsella","John Robinson","Graham Stuart","Andy Hunt","Kevin Lisbie"
"16",16,"2000-08-23","Man City","Sunderland","Nicky Weaver","Richard Edghill","Gerard Wiekens","Steve Howey","Spencer Prior","Alfe-Inge Haaland","Danny Tiatto","Kevin Horlock","Mark Kennedy","Paulo Wanchope","George Weah","Jurgen Macho","Chris Makin","Paul Butler","Stanislav Varga","Darren Holloway","Kevin Kilbane","Michael Gray","Don Hutchison","Paul Thirlwell","Kevin Phillips","Niall Quinn"
"17",17,"2000-08-23","Newcastle","Derby","Shay Given","Warren Barton","Didier Domi","Aaron Hughes","Nikos Dabizas","Nolberto Solano","Gary Speed","Daniel Cordone","Kieron Dyer","Carl Cort","Alan Shearer","Mart Poom","Danny Higginbotham","Con Blatsis","Bjorn Otto Bragstad","Steve Elliott","Stefano Eranio","Seth Johnson","Darryl Powell","Simo Valakari","Deon Burton","Branko Strupar"
"18",18,"2000-08-23","Southampton","Coventry","Paul Jones","Jason Dodd","Claus Lundekvam","Tahar El Khalej","Wayne Bridge","Mark Draper","Hassan Kachloul","Chris Marsden","Matt Oakley","Kevin Davies","Uwe Rosler","Magnus Hedman","Marc Edworthy","Richard Shaw","Paul D Williams","Marcus Hall","Youssef Chippo","John Eustace","Carlton Palmer","Paul Telfer","Craig Bellamy","Cedric Roussel"
"19",19,"2000-08-23","West Ham","Leicester","Shaka Hislop","Stuart Pearce","Igor Stimac","Rio Ferdinand","Javier Margas","Nigel Winterburn","Michael Carrick","Steve Lomas","Paolo Di Canio","Frederic Kanoute","Davor Suker","Tim Flowers","Gary Rowett","Matt Elliott","Gerry Taggart","Darren Eadie","Steve Guppy","Andy Impey","Muzzy Izzet","Neil Lennon","Robbie Savage","Ade Akinbiyi"
"20",20,"2000-08-26","Arsenal","Charlton","David Seaman","Lee Dixon","Tony Adams","Martin Keown","Gilles Grimandi","Bissan Lauren"," Silvinho","Robert Pires","Patrick Vieira","Thierry Henry","Nwankwo Kanu","Dean Kiely","Richard Rufus","Carl Tiler","Radostin Kishishev","Chris Powell","Claus Jensen","Mark Kinsella","John Robinson","Graham Stuart","Andy Hunt","Kevin Lisbie"
"21",21,"2000-08-26","Bradford","Leicester","Matt Clarke","Peter Atherton","Andy O'Brien","David Wetherall","Dan Petrescu","Ian Nolan","David Hopkin","Stuart McCall","Lee Sharpe","Benito Carbone","Dean Windass","Tim Flowers","Gary Rowett","Matt Elliott","Gerry Taggart","Darren Eadie","Steve Guppy","Andy Impey","Muzzy Izzet","Neil Lennon","Robbie Savage","Ade Akinbiyi"
"22",22,"2000-08-26","Everton","Derby","Paul Gerrard","David Unsworth","Steve Watson","David Weir","Richard Gough","Niclas Alexandersson","Thomas Gravesen","Stephen Hughes","Alex Nyarko","Francis Jeffers","Joe-Max Moore","Mart Poom","Danny Higginbotham","Richard Jackson","Bjorn Otto Bragstad","Steve Elliott","Stefano Eranio","Seth Johnson","Adam Murray","Simo Valakari","Deon Burton","Branko Strupar"
"23",23,"2000-08-26","Ipswich","Sunderland","Richard Wright","Titus Bramble","Hermann Hreidarsson","Mark Venus","Jamie Clapham","Fabian Wilnis","Jermaine Wright","Matt Holland","Jim Magilton","David Johnson","Marcus Stewart","Jurgen Macho","Chris Makin","Paul Butler","Jody Craddock","Darren Holloway","Kevin Kilbane","Michael Gray","Don Hutchison","Paul Thirlwell","Kevin Phillips","Niall Quinn"
"24",24,"2000-08-26","Man City","Coventry","Nicky Weaver","Richard Edghill","Gerard Wiekens","Steve Howey","Spencer Prior","Alfe-Inge Haaland","Danny Tiatto","Kevin Horlock","Mark Kennedy","Paulo Wanchope","George Weah","Magnus Hedman","Marc Edworthy","Richard Shaw","Paul D Williams","Marcus Hall","Youssef Chippo","John Eustace","Carlton Palmer","Paul Telfer","Craig Bellamy","Cedric Roussel"
"25",25,"2000-08-26","Middlesbrough","Leeds","Mark Schwarzer","Curtis Fleming","Steve Vickers","Colin Cooper","Gary Pallister","Paul Ince","Christian Karembeu","Keith O'Neill","Paul Okon","Brian Deane","Hamilton Ricard","Nigel Martyn","Garry Kelly","Michael Duberry","Jonathan Woodgate","Ian Harte","Eirik Bakke","Lee Bowyer","Olivier Dacourt","Alan Smith","Michael Bridges","Mark Viduka"
"26",26,"2000-08-26","Newcastle","Tottenham","Shay Given","Warren Barton","Didier Domi","Aaron Hughes","Alain Goma","Nolberto Solano","Gary Speed","Daniel Cordone","Kieron Dyer","Stephen Glass","Alan Shearer","Neil Sullivan","Stephen Carr","Sol Campbell","Chris Perry","Ben Thatcher","Darren Anderton","Steffen Freund","Oyvind Leonhardsen","Tim Sherwood","Steffen Iversen","Sergei Rebrov"
"27",27,"2000-08-26","Southampton","Liverpool","Neil Moss","Jason Dodd","Claus Lundekvam","Dean Richards","Wayne Bridge","Mark Draper","Hassan Kachloul","Matt Oakley","Jo Tessem","Marian Pahars","Uwe Rosler","Sander Westerveld","Markus Babbel","Djimi Traore","Stephane Henchoz","Sami Hyypia","Jamie Carragher","Steven Gerrard","Dietmar Hamann","Vladimir Smicer","Nick Barmby","Michael Owen"
"28",28,"2000-08-26","West Ham","Man United","Shaka Hislop","Stuart Pearce","Igor Stimac","Rio Ferdinand","Javier Margas","Nigel Winterburn","Michael Carrick","Joe Cole","Steve Lomas","Paolo Di Canio","Davor Suker","Fabien Barthez","Gary Neville","Mikael Silvestre","Jaap Stam","Phil Neville","David Beckham","Ryan Giggs","Roy Keane","Paul Scholes","Andrew Cole","Teddy Sheringham"
"29",29,"2000-08-27","Aston Villa","Chelsea","David James"," Alpay Ozalan","Gareth Southgate","Dion Dublin","Gareth Barry","Alan Wright","George Boateng","Lee Hendrie","Paul Merson","Steve Stone","Luc Nilis","Carlo Cudicini","Christian Panucci","Marcel Desailly","Frank Leboeuf","Celestine Babayaro","Roberto Di Matteo","Gus Poyet","Mario Stanic","Dennis Wise","Tore Andre Flo","Jimmy Floyd Hasselbaink"
"30",30,"2000-09-05","Leeds","Man City","Nigel Martyn","Garry Kelly","Michael Duberry","Lucas Radebe","Ian Harte","Lee Bowyer","Olivier Dacourt","Matthew Jones","Alan Smith","Michael Bridges","Mark Viduka","Nicky Weaver","Gerard Wiekens","Steve Howey","Spencer Prior","Paul Ritchie","Alfe-Inge Haaland","Danny Tiatto","Kevin Horlock","Jeff Whitley","Mark Kennedy","Paulo Wanchope"
"31",31,"2000-09-05","Man United","Bradford","Fabien Barthez","Gary Neville","Mikael Silvestre","Ronny Johnsen","David Beckham","Nicky Butt","Quinton Fortune","Jonathan Greening","Ronnie Wallwork","Andrew Cole","Teddy Sheringham","Matt Clarke","Peter Atherton","Gunnar Halle","David Wetherall","Ian Nolan","David Hopkin","Stuart McCall","Lee Sharpe","Gareth Whalley","Benito Carbone","Dean Windass"
"32",32,"2000-09-05","Sunderland","West Ham","Jurgen Macho","Chris Makin","Jody Craddock","Emerson Thome","Julio Arca","Darren Holloway","Kevin Kilbane","Michael Gray","Don Hutchison","Kevin Phillips","Niall Quinn","Shaka Hislop","Stuart Pearce","Igor Stimac","Nigel Winterburn","Michael Carrick","Joe Cole","Frank Lampard","Steve Lomas","Trevor Sinclair","Paolo Di Canio","Davor Suker"
"33",33,"2000-09-05","Tottenham","Everton","Neil Sullivan","Stephen Carr","Sol Campbell","Chris Perry","Ben Thatcher","Darren Anderton","Steffen Freund","Oyvind Leonhardsen","Tim Sherwood","Les Ferdinand","Sergei Rebrov","Paul Gerrard","David Unsworth","Steve Watson","David Weir","Niclas Alexandersson","Paul Gascoigne","Thomas Gravesen","Stephen Hughes","Alex Nyarko","Mark Hughes","Francis Jeffers"
"34",34,"2000-09-06","Charlton","Southampton","Dean Kiely","Steve Brown","Richard Rufus","Radostin Kishishev","Chris Powell","Claus Jensen","Mark Kinsella","John Robinson","Graham Stuart","Andy Hunt","Kevin Lisbie","Neil Moss","Claus Lundekvam","Dean Richards","Tahar El Khalej","Wayne Bridge","Mark Draper","Chris Marsden","Matt Oakley","Jo Tessem","Marian Pahars","Uwe Rosler"
"35",35,"2000-09-06","Chelsea","Arsenal","Carlo Cudicini","Christian Panucci","Marcel Desailly","Frank Leboeuf","Celestine Babayaro","Graeme Le Saux","Roberto Di Matteo","Gus Poyet","Dennis Wise","Jimmy Floyd Hasselbaink","Gianfranco Zola","David Seaman","Lee Dixon","Oleg Luzhny","Martin Keown","Gilles Grimandi","Bissan Lauren"," Silvinho","Ray Parlour","Robert Pires","Thierry Henry","Nwankwo Kanu"
"36",36,"2000-09-06","Coventry","Newcastle","Magnus Hedman","Marc Edworthy","Richard Shaw","Paul D Williams","Marcus Hall","Youssef Chippo","John Eustace","Carlton Palmer","Paul Telfer","Craig Bellamy","Cedric Roussel","Shay Given","Laurent Charvet","Didier Domi","Aaron Hughes","Alain Goma","Gary Speed","Daniel Cordone","Kieron Dyer","Stephen Glass","Rob Lee","Alan Shearer"
"37",37,"2000-09-06","Derby","Middlesbrough","Mart Poom","Stefan Schnoor","Bjorn Otto Bragstad","Steve Elliott","Rory Delap","Stefano Eranio","Seth Johnson","Simo Valakari","Deon Burton","Branko Strupar","Dean Sturridge","Mark Schwarzer","Gianluca Festa","Curtis Fleming","Steve Vickers","Gary Pallister","Paul Ince","Christian Karembeu","Phil Stamp","Alen Boksic","Brian Deane","Joseph-Desire Job"
"38",38,"2000-09-06","Leicester","Ipswich","Tim Flowers","Gary Rowett","Matt Elliott","Gerry Taggart","Darren Eadie","Steve Guppy","Andy Impey","Muzzy Izzet","Stefan Oakes","Robbie Savage","Ade Akinbiyi","Richard Wright","Titus Bramble","Hermann Hreidarsson","John Scales","Jamie Clapham","Fabian Wilnis","Jermaine Wright","Matt Holland","Jim Magilton","David Johnson","Marcus Stewart"
"39",39,"2000-09-06","Liverpool","Aston Villa","Sander Westerveld","Markus Babbel","Djimi Traore","Stephane Henchoz","Sami Hyypia","Jamie Carragher","Steven Gerrard","Dietmar Hamann","Vladimir Smicer","Emile Heskey","Michael Owen","David James"," Alpay Ozalan","Ugo Ehiogu","Gareth Southgate","Dion Dublin","Gareth Barry","George Boateng","Paul Merson","Steve Stone","Ian Taylor","Luc Nilis"
"40",40,"2000-09-09","Bradford","Arsenal","Matt Clarke","Peter Atherton","Andy Myers","David Wetherall","Dan Petrescu","Ian Nolan","Peter Beagrie","David Hopkin","Stuart McCall","Benito Carbone","Ashley Ward","David Seaman","Lee Dixon","Oleg Luzhny","Martin Keown","Gilles Grimandi","Ashley Cole","Freddie Ljungberg","Ray Parlour","Robert Pires","Thierry Henry","Sylvain Wiltord"
"41",41,"2000-09-09","Coventry","Leeds","Magnus Hedman","Marc Edworthy","Richard Shaw","Paul D Williams","Marcus Hall","Youssef Chippo","Mustapha Hadji","Carlton Palmer","Paul Telfer","Craig Bellamy","Cedric Roussel","Nigel Martyn","Garry Kelly","Michael Duberry","Lucas Radebe","Ian Harte","Lee Bowyer","Olivier Dacourt","Stephen McPhail","Alan Smith","Michael Bridges","Darren Huckerby"
"42",42,"2000-09-09","Ipswich","Aston Villa","Richard Wright","Titus Bramble","Hermann Hreidarsson","Mark Venus","Jamie Clapham","Fabian Wilnis","Jermaine Wright","Matt Holland","Jim Magilton","James Scowcroft","David Johnson","David James"," Alpay Ozalan","Gareth Southgate","Dion Dublin","Gareth Barry","Alan Wright","George Boateng","Lee Hendrie","Paul Merson","Steve Stone","Luc Nilis"
"43",43,"2000-09-09","Leicester","Southampton","Tim Flowers","Gary Rowett","Matt Elliott","Gerry Taggart","Darren Eadie","Steve Guppy","Andy Impey","Muzzy Izzet","Neil Lennon","Robbie Savage","Ade Akinbiyi","Neil Moss","Claus Lundekvam","Dean Richards","Tahar El Khalej","Wayne Bridge","Mark Draper","Hassan Kachloul","Matt Oakley","Jo Tessem","Marian Pahars","Uwe Rosler"
"44",44,"2000-09-09","Liverpool","Man City","Sander Westerveld","Markus Babbel","Rigobert Song","Djimi Traore","Stephane Henchoz","Jamie Carragher","Steven Gerrard","Dietmar Hamann","Nick Barmby","Emile Heskey","Michael Owen","Nicky Weaver","Gerard Wiekens","Steve Howey","Spencer Prior","Paul Ritchie","Alfe-Inge Haaland","Kevin Horlock","Jeff Whitley","Mark Kennedy","Paul Dickov","Paulo Wanchope"
"45",45,"2000-09-09","Man United","Sunderland","Fabien Barthez","Gary Neville","Mikael Silvestre","Ronny Johnsen","Jaap Stam","David Beckham","Nicky Butt","Ryan Giggs","Paul Scholes","Andrew Cole","Teddy Sheringham","Jurgen Macho","Chris Makin","Jody Craddock","Emerson Thome","Julio Arca","Darren Holloway","Kevin Kilbane","Michael Gray","Don Hutchison","Kevin Phillips","Niall Quinn"
"46",46,"2000-09-09","Middlesbrough","Everton","Mark Schwarzer","Gianluca Festa","Curtis Fleming","Steve Vickers","Dean Gordon","Paul Ince","Christian Karembeu","Phil Stamp","Alen Boksic","Joseph-Desire Job","Noel Whelan","Paul Gerrard","Steve Watson","David Weir","Abel Xavier","Niclas Alexandersson","Paul Gascoigne","Thomas Gravesen","Stephen Hughes","Alex Nyarko","Mark Hughes","Francis Jeffers"
"47",47,"2000-09-09","Newcastle","Chelsea","Shay Given","Warren Barton","Laurent Charvet","Aaron Hughes","Alain Goma","Nolberto Solano","Gary Speed","Daniel Cordone","Kieron Dyer","Kevin Gallacher","Alan Shearer","Carlo Cudicini","Mario Melchiot","Christian Panucci","Marcel Desailly","Frank Leboeuf","Jon Harley","Graeme Le Saux","Roberto Di Matteo","Dennis Wise","Tore Andre Flo","Jimmy Floyd Hasselbaink"
"48",48,"2000-09-10","Derby","Charlton","Mart Poom","Danny Higginbotham","Stefan Schnoor","Bjorn Otto Bragstad","Rory Delap","Stefano Eranio","Seth Johnson","Simo Valakari","Deon Burton","Malcolm Christie","Dean Sturridge","Dean Kiely","Richard Rufus","Carl Tiler","Radostin Kishishev","Chris Powell","Claus Jensen","Mark Kinsella","John Robinson","Graham Stuart","Andy Hunt","Jonatan Johansson"
"49",49,"2000-09-11","Tottenham","West Ham","Neil Sullivan","Stephen Carr","Luke Young","Sol Campbell","Mauricio Taricco","Steffen Freund","Oyvind Leonhardsen","Tim Sherwood","Les Ferdinand","Steffen Iversen","Sergei Rebrov","Shaka Hislop","Stuart Pearce","Rio Ferdinand","Nigel Winterburn","Michael Carrick","Joe Cole","Frank Lampard","Steve Lomas","Trevor Sinclair","Paolo Di Canio","Frederic Kanoute"
"50",50,"2000-09-16","Arsenal","Coventry","David Seaman","Oleg Luzhny","Tony Adams","Martin Keown","Gilles Grimandi"," Silvinho","Freddie Ljungberg","Ray Parlour","Robert Pires","Dennis Bergkamp","Sylvain Wiltord","Magnus Hedman","Marc Edworthy","Richard Shaw","Paul D Williams","Marcus Hall","Youssef Chippo","Mustapha Hadji","Carlton Palmer","Paul Telfer","Craig Bellamy","Cedric Roussel"
"51",51,"2000-09-16","Aston Villa","Bradford","David James"," Alpay Ozalan","Gareth Southgate","Dion Dublin","Gareth Barry","Alan Wright","George Boateng","David Ginola","Lee Hendrie","Paul Merson","Steve Stone","Matt Clarke","Peter Atherton","David Wetherall","Dan Petrescu","Ian Nolan","David Hopkin","Stuart McCall","Gareth Whalley","Benito Carbone","Ashley Ward","Dean Windass"
"52",52,"2000-09-16","Charlton","Tottenham","Dean Kiely","Paul Konchesky","Steve Brown","Richard Rufus","Chris Powell","Claus Jensen","Mark Kinsella","John Robinson","Graham Stuart","Andy Hunt","Jonatan Johansson","Neil Sullivan","Stephen Carr","Sol Campbell","Ramon Vega","Mauricio Taricco","Steffen Freund","Oyvind Leonhardsen","Tim Sherwood","Les Ferdinand","Steffen Iversen","Sergei Rebrov"
"53",53,"2000-09-16","Everton","Man United","Paul Gerrard","Steve Watson","David Weir","Richard Dunne","Niclas Alexandersson","Paul Gascoigne","Thomas Gravesen","Stephen Hughes","Alex Nyarko","Mark Hughes","Francis Jeffers","Fabien Barthez","Gary Neville","Wes Brown","Mikael Silvestre","Denis Irwin","David Beckham","Nicky Butt","Ryan Giggs","Paul Scholes","Teddy Sheringham","Ole Gunnar Solskjaer"
"54",54,"2000-09-16","Leeds","Ipswich","Nigel Martyn","Garry Kelly","Danny Mills","Michael Duberry","Ian Harte","Lee Bowyer","Olivier Dacourt","Stephen McPhail","Alan Smith","Michael Bridges","Darren Huckerby","Richard Wright","John McGreal","Titus Bramble","Hermann Hreidarsson","Jamie Clapham","Fabian Wilnis","Jermaine Wright","Matt Holland","Jim Magilton","James Scowcroft","Marcus Stewart"
"55",55,"2000-09-16","Southampton","Newcastle","Paul Jones","Jason Dodd","Claus Lundekvam","Dean Richards","Tahar El Khalej","Wayne Bridge","Hassan Kachloul","Matt Oakley","Jo Tessem","James Beattie","Marian Pahars","Shay Given","Laurent Charvet","Didier Domi","Aaron Hughes","Alain Goma","Nolberto Solano","Gary Speed","Daniel Cordone","Kieron Dyer","Kevin Gallacher","Alan Shearer"
"56",56,"2000-09-16","Sunderland","Derby","Thomas Sorensen","Chris Makin","Jody Craddock","Emerson Thome","Julio Arca","Kevin Kilbane","Darren Williams","Michael Gray","Don Hutchison","Kevin Phillips","Niall Quinn","Mart Poom","Danny Higginbotham","Bjorn Otto Bragstad","Horacio Carbonari","Steve Elliott","Stefano Eranio","Seth Johnson","Georgi Kinkladze","Simo Valakari","Deon Burton","Malcolm Christie"
"57",57,"2000-09-17","Chelsea","Leicester","Carlo Cudicini","Christian Panucci","Winston Bogarde","Marcel Desailly","Graeme Le Saux","Roberto Di Matteo","Jody Morris","Dennis Wise","Tore Andre Flo","Jimmy Floyd Hasselbaink","Gianfranco Zola","Tim Flowers","Gary Rowett","Matt Elliott","Phil Gilchrist","Darren Eadie","Steve Guppy","Andy Impey","Muzzy Izzet","Neil Lennon","Robbie Savage","Ade Akinbiyi"
"58",58,"2000-09-17","Man City","Middlesbrough","Nicky Weaver","Gerard Wiekens","Steve Howey","Spencer Prior","Paul Ritchie","Alfe-Inge Haaland","Kevin Horlock","Jeff Whitley","Mark Kennedy","Paulo Wanchope","George Weah","Gary Walsh","Gianluca Festa","Curtis Fleming","Colin Cooper","Jason Gavin","Paul Ince","Robbie Mustoe","Keith O'Neill","Andy Campbell","Brian Deane","Joseph-Desire Job"
"59",59,"2000-09-17","West Ham","Liverpool","Shaka Hislop","Stuart Pearce","Igor Stimac","Rio Ferdinand","Nigel Winterburn","Michael Carrick","Joe Cole","Steve Lomas","Trevor Sinclair","Paolo Di Canio","Frederic Kanoute","Sander Westerveld","Markus Babbel","Rigobert Song","Djimi Traore","Stephane Henchoz","Jamie Carragher","Steven Gerrard","Dietmar Hamann","Danny Murphy","Nick Barmby","Emile Heskey"
"60",60,"2000-09-23","Bradford","Southampton","Matt Clarke","Peter Atherton","Gunnar Halle","David Wetherall","Dan Petrescu","Wayne Jacobs","Stuart McCall","Lee Sharpe","Benito Carbone","Ashley Ward","Dean Windass","Paul Jones","Jason Dodd","Claus Lundekvam","Dean Richards","Tahar El Khalej","Wayne Bridge","Hassan Kachloul","Matt Oakley","Jo Tessem","James Beattie","Marian Pahars"
"61",61,"2000-09-23","Coventry","West Ham","Magnus Hedman","Marc Edworthy","Richard Shaw","Paul D Williams","Marcus Hall","Youssef Chippo","Mustapha Hadji","Carlton Palmer","David Thompson","Craig Bellamy","Ysrael Zuniga","Shaka Hislop","Stuart Pearce","Igor Stimac","Rio Ferdinand","Nigel Winterburn","Joe Cole","Frank Lampard","Steve Lomas","Trevor Sinclair","Paolo Di Canio","Frederic Kanoute"
"62",62,"2000-09-23","Derby","Leeds","Mart Poom","Danny Higginbotham","Stefan Schnoor","Bjorn Otto Bragstad","Horacio Carbonari","Craig Burley","Stefano Eranio","Seth Johnson","Simo Valakari","Deon Burton","Malcolm Christie","Nigel Martyn","Garry Kelly","Michael Duberry","Lucas Radebe","Dominic Matteo","Ian Harte","Eirik Bakke","Lee Bowyer","Olivier Dacourt","Alan Smith","Michael Bridges"
"63",63,"2000-09-23","Ipswich","Arsenal","Richard Wright","Titus Bramble","Hermann Hreidarsson","Mark Venus","Jamie Clapham","Fabian Wilnis","Jermaine Wright","Matt Holland","Jim Magilton","James Scowcroft","Marcus Stewart","David Seaman","Oleg Luzhny","Martin Keown","Nelson Vivas","Gilles Grimandi"," Silvinho","Freddie Ljungberg","Ray Parlour","Dennis Bergkamp","Thierry Henry","Sylvain Wiltord"
"64",64,"2000-09-23","Liverpool","Sunderland","Sander Westerveld","Markus Babbel","Rigobert Song","Stephane Henchoz","Jamie Carragher","Dietmar Hamann","Christian Ziege","Nick Barmby","Bernard Diomede","Emile Heskey","Michael Owen","Thomas Sorensen","Chris Makin","Jody Craddock","Emerson Thome","Julio Arca","Kevin Kilbane","Darren Williams","Michael Gray","Don Hutchison","Kevin Phillips","Niall Quinn"
"65",65,"2000-09-23","Man United","Chelsea","Raimond van der Gouw","Gary Neville","Mikael Silvestre","Ronny Johnsen","Denis Irwin","David Beckham","Ryan Giggs","Roy Keane","Paul Scholes","Andrew Cole","Teddy Sheringham","Carlo Cudicini","Christian Panucci","Marcel Desailly","Frank Leboeuf","Jon Harley","Graeme Le Saux","Roberto Di Matteo","Jody Morris","Tore Andre Flo","Jimmy Floyd Hasselbaink","Gianfranco Zola"
