"","X","match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"1337",1337,"2004-01-07","Tottenham","Birmingham","Kasey Keller","Stephen Carr","Gary Doherty","Ledley King","Darren Anderton","Stephane Dalmat","Simon Davies","Johnnie Jackson","Gus Poyet","Frederic Kanoute","Robbie Keane","Maik Taylor","Kenny Cunningham","Jeff Kenna","Darren Purse","Darren Carter","Stephen Clemence","David Dunn","Damien Johnson","Robbie Savage","Mikael Forssell","Clinton Morrison"
"1338",1338,"2004-01-07","Wolves","Blackburn","Michael Oakes","Paul Butler","Jody Craddock","Denis Irwin","Lee Naylor","Colin Cameron","Shaun Newton","Alex Rae","Henri Camara","Mark Kennedy","Steffen Iversen","Brad Friedel","Markus Babbel","Brett Emerton","Vratislav Gresko","Craig Short","Martin Taylor","Lucas Neill","Garry Flitcroft"," Tugay Kerimoglu","Andrew Cole","Paul Gallagher"
"1339",1339,"2004-01-10","Arsenal","Middlesbrough","Jens Lehmann","Sol Campbell","Pascal Cygan","Bissan Lauren","Ashley Cole"," Gilberto Silva","Freddie Ljungberg","Robert Pires","Patrick Vieira","Jeremie Aliadiere","Thierry Henry","Mark Schwarzer","Danny Mills","Ugo Ehiogu","Gareth Southgate","Franck Queudrue","George Boateng"," Doriva","Stewart Downing","Bolo Zenden","Joseph-Desire Job","Szilard Nemeth"
"1340",1340,"2004-01-10","Birmingham","Southampton","Maik Taylor","Kenny Cunningham","Jeff Kenna","Olivier Tebily","Darren Purse","Stephen Clemence","David Dunn","Bryan Hughes","Damien Johnson","Mikael Forssell","Clinton Morrison","Antti Niemi","Jason Dodd","Danny Higginbotham","Fitz Hall","Michael Svensson","Rory Delap","Fabrice Fernandes","David Prutton","Anders Svensson","James Beattie","Brett Ormerod"
"1341",1341,"2004-01-10","Blackburn","Bolton","Brad Friedel","Markus Babbel","Brett Emerton","Vratislav Gresko","Martin Taylor","Lucas Neill","Jonathan Douglas"," Tugay Kerimoglu","Andrew Cole","Paul Gallagher","Dwight Yorke","Jussi J‰‰skel‰inen","Nicky Hunt","Bruno N'Gotty","Emerson Thome","Ivan Campo","Simon Charlton","Youri Djorkaeff","Per Frandsen","Kevin Nolan","Jay Jay Okocha","Kevin Davies"
"1342",1342,"2004-01-10","Charlton","Wolves","Dean Kiely","Mark Fish","Hermann Hreidarsson","Chris Perry","Radostin Kishishev","Matt Holland","Scott Parker","Graham Stuart","Jason Euell","Paolo Di Canio","Jonatan Johansson","Michael Oakes","Mark Clyde","Jody Craddock","Denis Irwin","Lee Naylor","Colin Cameron","Paul Ince","Shaun Newton","Alex Rae","Henri Camara","Nathan Blake"
"1343",1343,"2004-01-10","Fulham","Everton","Edwin van der Sar","Zat Knight","Andy Melville","Martin Djetou","Adam Green","Lee Clark","Sean Davis","Sylvain Legwinski","Steed Malbranque","Luis Boa Morte","Louis Saha","Nigel Martyn","David Unsworth","David Weir","Tony Hibbert","Kevin Kilbane","Gary Naysmith","Lee Carsley","Tobias Linderoth","Kevin Campbell","Francis Jeffers","Tomasz Radzinski"
"1344",1344,"2004-01-10","Leeds","Tottenham","Paul Robinson","Garry Kelly","Michael Duberry","Matt Kilgallon","Dominic Matteo","Salomon Olembe","Ian Harte","Eirik Bakke","Jermaine Pennant","Nick Barmby","Mark Viduka","Kasey Keller","Stephen Carr","Anthony Gardner","Gary Doherty","Ledley King","Mauricio Taricco","Darren Anderton","Stephane Dalmat","Simon Davies","Frederic Kanoute","Robbie Keane"
"1345",1345,"2004-01-10","Liverpool","Aston Villa","Paul Jones","John Arne Riise","Stephane Henchoz","Sami Hyypia","Igor Biscan","Dietmar Hamann","Danny Murphy","Harry Kewell","El Hadji Diouf","Emile Heskey","Michael Owen","Thomas Sorensen","Mark Delaney","JLloyd Samuel","Olof Mellberg","Dion Dublin","Gareth Barry","Lee Hendrie","Gavin McCann","Peter Whittingham","Juan Pablo Angel","Darius Vassell"
"1346",1346,"2004-01-10","Portsmouth","Man City","Shaka Hislop","Petri Pasanen","Dejan Stefanovic","Arjan De Zeeuw","Linvoy Primus","Patrik Berger","Eyal Berkovic","Richard Hughes","Alexei Smertin","Teddy Sheringham"," Yakubu Ayegbeni","David Seaman","Sylvain Distin","David Sommeil","Richard Dunne","Joey Barton","Paul Bosvelt","Trevor Sinclair","Michael Tarnat","Antoine Sibierski","Nicolas Anelka","Robbie Fowler"
