"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Attendance","Referee","HS","AS","HST","AST","HHW","AHW","HC","AC","HF","AF","HO","AO","HY","AY","HR","AR","HBP","ABP","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","SBH","SBD","SBA","WHH","WHD","WHA"
"31","E0",2000-09-05,"Man United","Bradford",6,0,"H",2,0,"H",67447,"Ian Harris",21,6,12,4,1,1,5,1,12,10,4,9,0,1,0,0,0,10,1.2,5.5,9,1.2,4.7,9,1.25,4.5,10,1.25,5,9,1.2,5.5,9
"32","E0",2000-09-05,"Sunderland","West Ham",1,1,"D",1,1,"D",46605,"Peter Jones",17,16,7,9,1,0,4,11,19,14,2,10,2,3,0,0,20,30,2,3.2,3.3,1.85,3,3.3,2.25,3.2,2.75,2.05,3.2,3.2,2.1,3.2,3
"33","E0",2000-09-05,"Tottenham","Everton",3,2,"H",1,2,"A",35316,"Barry Knight",11,11,7,6,1,0,7,5,11,10,11,7,1,2,0,0,10,20,1.75,3.3,4,1.7,3.1,3.8,1.7,3.4,4,1.57,3.4,5.5,1.66,3.4,4.33
"34","E0",2000-09-06,"Charlton","Southampton",1,1,"D",0,0,"D",20043,"Mark Halsey",8,11,6,3,0,0,10,14,14,16,4,3,3,3,1,0,55,30,2,3.1,3.2,2,2.9,3,2,3.2,3.2,1.83,3.4,3.75,1.8,3.3,3.75
"35","E0",2000-09-06,"Chelsea","Arsenal",2,2,"D",1,0,"H",34923,"Mike Riley",12,13,5,5,1,1,7,6,16,22,2,2,3,1,0,0,30,10,2.3,3.1,2.8,2.2,2.9,2.7,2.2,3.25,2.75,2.3,3.1,2.8,2.2,3,3
"36","E0",2000-09-06,"Coventry","Newcastle",0,2,"A",0,1,"A",22109,"Alan Wiley",13,13,3,6,1,0,6,8,11,18,10,3,1,1,0,0,10,10,2.4,3.1,2.6,2.35,3,2.35,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.4
"37","E0",2000-09-06,"Derby","Middlesbrough",3,3,"D",0,1,"A",24290,"Rob Styles",9,5,5,4,0,0,11,5,8,10,3,5,3,2,0,0,30,20,2.4,3.1,2.6,2.3,2.9,2.5,2.4,3.25,2.5,2.4,3.2,2.6,2.4,3.25,2.5
"38","E0",2000-09-06,"Leicester","Ipswich",2,1,"H",0,0,"D",19598,"Paul Taylor",12,7,6,3,0,0,6,2,12,13,3,0,1,1,0,0,10,10,1.7,3.4,4.15,1.7,3.1,3.8,1.55,3.5,5,1.7,3.25,4.5,1.66,3.4,4.33
"39","E0",2000-09-06,"Liverpool","Aston Villa",3,1,"H",3,0,"H",43360,"Neale Barry",11,9,7,4,0,0,8,7,13,7,4,3,0,2,0,0,0,20,1.66,3.4,4.5,1.6,3.2,4.2,1.55,3.5,5,1.62,3.4,5,1.57,3.5,5
"40","E0",2000-09-09,"Bradford","Arsenal",1,1,"D",1,0,"H",17160,"Alan Wiley",9,18,5,11,0,1,4,10,17,13,4,7,0,2,0,0,0,20,4.6,3.4,1.6,3.8,3.1,1.7,4,3.4,1.7,4.5,3.3,1.7,4.5,3.5,1.61
"41","E0",2000-09-09,"Coventry","Leeds",0,0,"D",0,0,"D",20377,"Paul Durkin",9,11,1,5,0,0,6,6,15,14,3,10,2,2,0,0,20,20,3.05,3.2,2.1,2.7,2.9,2.2,3.5,3.2,1.9,3.1,3.1,2.15,3,3.2,2.1
"42","E0",2000-09-09,"Ipswich","Aston Villa",1,2,"A",0,1,"A",22065,"Andy D'Urso",15,5,5,2,0,0,5,3,9,13,4,3,1,3,0,0,10,30,2.65,3.2,2.3,2.5,2.9,2.3,2.5,3.25,2.4,2.75,3.25,2.25,2.75,3.2,2.25
"43","E0",2000-09-09,"Leicester","Southampton",1,0,"H",0,0,"D",18366,"Mike Dean",17,9,6,5,0,0,10,6,6,9,2,1,0,0,0,0,0,0,1.71,3.4,4.2,1.75,3.1,3.6,1.8,3.25,3.75,1.73,3.25,4.33,1.66,3.4,4.33
"44","E0",2000-09-09,"Liverpool","Man City",3,2,"H",1,0,"H",44692,"Graham Barber",14,9,8,7,0,0,9,4,17,17,3,5,3,4,0,0,30,40,1.3,3.9,9.2,1.35,3.8,6.2,1.4,3.75,7,1.4,3.75,7.5,1.36,3.75,8
"45","E0",2000-09-09,"Man United","Sunderland",3,0,"H",1,0,"H",67503,"Neale Barry",15,5,7,1,1,0,4,4,18,14,3,6,1,3,0,0,10,30,1.25,4.1,9,1.35,3.8,6.2,1.35,3.75,8,1.33,4,9,1.25,4.5,10
"46","E0",2000-09-09,"Middlesbrough","Everton",1,2,"A",1,0,"H",30885,"Steve Bennett",9,12,5,9,0,0,7,7,16,5,6,7,3,0,0,0,30,0,2,3.3,3.2,1.9,2.9,3.2,1.9,3.2,3.5,1.7,3.4,4.2,1.83,3.3,3.6
"47","E0",2000-09-09,"Newcastle","Chelsea",0,0,"D",0,0,"D",51687,"Graham Poll",10,10,4,3,0,0,5,6,17,21,4,6,0,3,0,0,0,30,2.35,3.25,2.6,2.35,3,2.35,2.5,3.25,2.4,2.6,3.2,2.4,2.4,3.25,2.5
"48","E0",2000-09-10,"Derby","Charlton",2,2,"D",2,0,"H",22310,"Peter Jones",12,10,6,6,0,0,4,11,17,12,0,3,3,1,0,0,30,10,2,3.3,3.2,1.8,3,3.5,2.1,3.4,2.85,2.05,3.2,3.2,2,3.2,3.2
"49","E0",2000-09-11,"Tottenham","West Ham",1,0,"H",0,0,"D",33282,"Steve Dunn",15,11,7,5,1,0,11,3,14,13,2,7,1,2,0,0,10,20,1.85,3.3,3.7,2,2.9,3,2,3.2,3.2,2.05,3.2,3.4,1.9,3.25,3.4
"50","E0",2000-09-16,"Arsenal","Coventry",2,1,"H",1,0,"H",37794,"Mike Dean",18,6,13,2,0,1,8,4,5,13,3,0,1,2,0,0,10,20,1.25,4.8,9,1.35,3.8,6.2,1.25,4.5,10,1.33,4,9,1.25,4.33,10.5
"51","E0",2000-09-16,"Aston Villa","Bradford",2,0,"H",1,0,"H",27849,"Rob Styles",12,8,7,4,0,0,5,6,8,12,10,10,0,2,0,0,0,20,1.53,3.8,5,1.4,3.6,5.5,1.5,3.4,6,1.5,3.5,6,1.57,3.5,5
"52","E0",2000-09-16,"Charlton","Tottenham",1,0,"H",1,0,"H",20043,"Jeff Winter",9,10,5,5,1,1,7,5,8,10,3,2,0,0,0,0,0,0,2.6,3.3,2.3,2.7,2.9,2.2,2.75,3.2,2.25,2.63,3.2,2.38,2.62,3.25,2.3
"53","E0",2000-09-16,"Everton","Man United",1,3,"A",0,3,"A",38541,"Dermot Gallagher",6,17,4,9,0,1,6,5,10,11,12,4,4,1,0,0,40,10,4.4,3.4,1.66,3.5,3,1.8,4.3,3.2,1.7,5,3.5,1.62,4.33,3.3,1.7
"54","E0",2000-09-16,"Leeds","Ipswich",1,2,"A",1,1,"D",35552,"Mark Halsey",11,12,6,7,0,0,6,3,12,19,6,0,1,3,0,0,10,30,1.35,3.9,8,1.35,3.8,6.2,1.4,4,6.5,1.44,3.6,7,1.5,3.4,6
"55","E0",2000-09-16,"Southampton","Newcastle",2,0,"H",0,0,"D",15221,"Barry Knight",13,10,9,7,0,0,4,8,14,14,4,4,0,0,0,0,0,0,2.75,3.35,2.2,2.9,2.9,2.1,2.75,3.2,2.25,2.75,3.25,2.25,2.75,3.25,2.2
"56","E0",2000-09-16,"Sunderland","Derby",2,1,"H",1,0,"H",45343,"Paul Taylor",15,10,8,5,2,0,4,5,16,28,0,5,2,3,0,0,20,30,1.65,3.4,4.1,1.8,3,3.5,1.8,3.25,3.75,1.67,3.25,4.75,1.72,3.4,4
"57","E0",2000-09-17,"Chelsea","Leicester",0,2,"A",0,1,"A",33697,"Graham Barber",16,7,10,5,1,0,15,3,16,17,1,4,3,1,0,0,30,10,1.45,3.65,6.2,1.5,3.4,4.7,1.5,3.4,6,1.5,3.5,6,1.53,3.4,5.5
"58","E0",2000-09-17,"Man City","Middlesbrough",1,1,"D",0,0,"D",32053,"Steve Lodge",11,4,4,2,1,0,9,3,15,11,3,2,2,5,0,0,20,50,2.1,3.3,2.9,2.2,3,2.6,2.2,3.25,2.75,2.2,3.25,2.8,2.3,3.25,2.62
"59","E0",2000-09-17,"West Ham","Liverpool",1,1,"D",0,1,"A",25998,"David Ellaray",15,7,4,2,0,0,9,0,5,13,6,3,0,2,0,0,0,20,3,3.3,2,2.7,2.9,2.2,2.75,3.2,2.25,2.75,3.25,2.25,2.62,3.25,2.3
"60","E0",2000-09-23,"Bradford","Southampton",0,1,"A",0,1,"A",16163,"Steve Dunn",14,6,6,4,0,0,7,5,14,18,5,6,3,1,0,0,30,10,2.05,3.2,3.1,2.1,2.9,2.9,2.2,3.25,2.75,2.2,3.2,2.88,2.2,3.25,2.75
"61","E0",2000-09-23,"Coventry","West Ham",0,3,"A",0,2,"A",20120,"Neale Barry",9,12,2,10,1,0,5,6,12,11,0,6,0,1,0,0,0,10,2.2,3.15,2.85,2.1,2.9,2.9,2.4,3.25,2.5,2.3,3.2,2.7,2.2,3.25,2.75
"62","E0",2000-09-23,"Derby","Leeds",1,1,"D",0,1,"A",26248,"Barry Knight",13,16,7,6,1,1,7,4,17,15,3,3,2,2,1,0,45,20,2.75,3.05,2.25,2.35,3,2.35,2.75,3.25,2.2,2.75,3.25,2.25,3.2,3.2,2
"63","E0",2000-09-23,"Ipswich","Arsenal",1,1,"D",0,0,"D",22030,"Paul Durkin",17,10,6,4,0,0,4,7,8,13,1,6,1,2,0,0,10,20,4.2,3.25,1.75,3.3,3,1.85,4.3,3.4,1.65,4,3.2,1.8,4.5,3.3,1.66
"64","E0",2000-09-23,"Liverpool","Sunderland",1,1,"D",1,1,"D",44713,"Mike Riley",11,8,6,3,0,0,12,3,14,18,8,5,2,2,0,0,20,20,1.33,4.1,7.5,1.4,3.6,5.5,1.35,3.75,8,1.4,3.75,7,1.4,3.75,7
"65","E0",2000-09-23,"Man United","Chelsea",3,3,"D",3,2,"H",67568,"Peter Jones",11,13,5,5,1,0,8,4,15,19,3,6,3,2,0,0,30,20,1.55,3.5,5.1,1.6,3.2,4.2,1.6,3.5,4.5,1.62,3.4,5,1.61,3.5,4.5
"66","E0",2000-09-23,"Middlesbrough","Aston Villa",1,1,"D",0,0,"D",27556,"Mark Halsey",12,15,5,7,0,1,5,5,7,14,6,2,3,0,0,0,30,0,2.3,3.35,2.6,2.3,2.9,2.5,2.25,3.2,2.75,2.3,3.2,2.7,2.37,3.1,2.62
"67","E0",2000-09-23,"Newcastle","Charlton",0,1,"A",0,1,"A",50866,"Andy D'Urso",12,4,5,2,0,1,4,7,14,10,3,11,1,2,0,0,10,20,1.45,3.7,6.3,1.45,3.5,5,1.5,3.4,6,1.44,3.6,7,1.44,3.6,6.5
"68","E0",2000-09-23,"Tottenham","Man City",0,0,"D",0,0,"D",36069,"Steve Bennett",18,7,5,2,1,0,5,4,10,14,2,4,0,2,0,0,0,20,1.55,3.5,5.2,1.6,3.3,4,1.55,3.5,5,1.6,3.5,5,1.53,3.4,5.5
"69","E0",2000-09-24,"Leicester","Everton",1,1,"D",1,0,"H",18084,"Alan Wiley",10,9,4,3,1,0,9,3,14,13,1,1,3,1,0,0,30,10,1.85,3.25,3.65,1.75,3.1,3.6,1.7,3.2,4.3,1.95,3.2,3.4,1.8,3.3,3.75
"70","E0",2000-09-30,"Aston Villa","Derby",4,1,"H",2,0,"H",27941,"David Ellaray",12,11,7,6,0,1,6,6,0,1,4,3,1,1,0,0,10,10,1.5,3.45,5.3,1.5,3.4,4.7,1.55,3.5,5,1.5,3.4,6,1.53,3.4,5.5
"71","E0",2000-09-30,"Charlton","Coventry",2,2,"D",0,1,"A",20043,"Rob Styles",12,10,8,6,1,0,6,6,8,16,5,0,1,2,0,0,10,20,1.8,3.3,3.7,1.8,3,3.5,1.85,3.25,3.6,1.83,3.25,3.75,1.8,3.3,3.75
"72","E0",2000-09-30,"Everton","Ipswich",0,3,"A",0,1,"A",32597,"Jeff Winter",7,9,3,7,0,0,4,1,6,5,2,4,1,0,0,0,10,0,1.7,3.2,4.3,1.75,3.1,3.6,1.65,3.25,4.5,1.73,3.2,4.5,1.72,3.4,4
"73","E0",2000-09-30,"Leeds","Tottenham",4,3,"H",0,1,"A",37562,"Neale Barry",14,10,7,5,1,0,6,4,11,20,4,1,0,2,0,0,0,20,1.66,3.4,4.2,1.8,3,3.5,1.7,3.2,4.3,1.73,3.25,4.33,1.72,3.4,4
"74","E0",2000-09-30,"Man City","Newcastle",0,1,"A",0,0,"D",34497,"Paul Taylor",9,15,7,9,0,1,10,8,16,12,7,8,0,1,0,0,0,10,2.4,3.3,2.5,2.3,2.9,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.4,3.25,2.5
"75","E0",2000-09-30,"Southampton","Middlesbrough",1,3,"A",0,2,"A",14903,"Graham Poll",16,7,8,5,2,0,6,6,6,22,5,1,2,2,0,0,20,20,2.15,3.2,2.85,2.1,3,2.8,2.1,3.2,3,2.1,3.25,3,2.2,3.25,2.75
"76","E0",2000-09-30,"West Ham","Bradford",1,1,"D",1,0,"H",25407,"Mike Dean",14,9,6,6,0,0,7,2,14,10,8,0,3,2,0,0,30,20,1.5,3.55,6.1,1.55,3.3,4.5,1.55,3.5,5,1.4,3.75,6.5,1.44,3.6,6.5
"77","E0",2000-10-01,"Arsenal","Man United",1,0,"H",1,0,"H",38146,"Graham Barber",7,13,5,4,0,0,3,11,18,17,8,1,2,3,0,0,20,30,2.55,3.2,2.45,2.3,2.9,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,2.9,2.62
"78","E0",2000-10-01,"Chelsea","Liverpool",3,0,"H",2,0,"H",34966,"Dermot Gallagher",11,10,5,2,0,0,3,1,14,14,4,2,1,1,0,0,10,10,2,3.3,3.15,2.1,2.9,2.9,2.1,3.2,3,2.1,3.1,3.2,2.2,3,3
"79","E0",2000-10-01,"Sunderland","Leicester",0,0,"D",0,0,"D",45338,"Steve Lodge",11,8,5,2,0,0,6,2,12,8,4,9,3,1,0,0,30,10,2.05,3.2,3.15,1.9,3,3.1,2.1,3.2,3,2,3.2,3.3,1.9,3.2,3.5
"80","E0",2000-10-14,"Arsenal","Aston Villa",1,0,"H",0,0,"D",38046,"Rob Harris",16,8,10,3,0,0,7,4,12,20,3,3,1,4,0,1,10,65,1.47,3.5,6,1.6,3.2,4.2,1.4,3.75,7,1.53,3.4,6,1.53,3.4,5.5
"81","E0",2000-10-14,"Coventry","Tottenham",2,1,"H",2,0,"H",21435,"Peter Jones",0,4,5,5,0,1,3,5,12,16,3,6,0,4,1,0,25,40,2.6,3.1,2.4,2.3,2.9,2.5,2.5,3.25,2.4,2.6,3.2,2.4,2.62,3.1,2.37
"82","E0",2000-10-14,"Everton","Southampton",1,1,"D",0,0,"D",29491,"David Ellaray",7,7,3,4,0,0,9,8,16,13,1,1,1,3,0,0,10,30,1.85,3.25,3.7,1.8,3,3.5,1.9,3.25,3.4,1.91,3.25,3.5,1.8,3.3,3.75
"83","E0",2000-10-14,"Ipswich","West Ham",1,1,"D",1,0,"H",22243,"Neale Barry",11,7,8,2,1,0,8,5,10,11,1,5,0,4,0,0,0,40,2.2,3.2,2.9,2.2,2.9,2.7,2.4,3.25,2.5,2.3,3.2,2.7,2.37,3.1,2.62
"84","E0",2000-10-14,"Leeds","Charlton",3,1,"H",1,0,"H",38837,"Mike Dean",22,10,10,8,0,0,8,5,7,9,2,1,0,1,0,0,0,10,1.5,3.25,6.3,1.55,3.3,4.5,1.5,3.4,6,1.5,3.5,6,1.5,3.6,5.5
"85","E0",2000-10-14,"Leicester","Man United",0,3,"A",0,1,"A",22132,"Paul Durkin",10,16,4,5,0,1,6,7,8,11,3,2,0,0,0,0,0,0,3.7,3.3,1.85,3.1,3,1.9,3.75,3.2,1.85,3.75,3.25,1.85,3.75,3.3,1.8
"86","E0",2000-10-14,"Man City","Bradford",2,0,"H",2,0,"H",34229,"Barry Knight",13,10,10,2,1,0,5,6,10,16,7,8,0,2,0,0,0,20,1.7,3.35,4.2,1.7,3.1,3.8,1.7,3.5,3.75,1.75,3.4,4,1.8,3.3,3.75
"87","E0",2000-10-14,"Sunderland","Chelsea",1,0,"H",0,0,"D",45078,"Jeff Winter",16,11,11,2,1,0,5,0,12,18,3,1,0,1,1,1,25,35,3.05,3.05,2.15,2.35,3,2.35,2.75,3.2,2.25,2.88,3,2.3,3,3.2,2.1
"88","E0",2000-10-15,"Derby","Liverpool",0,4,"A",0,1,"A",30352,"Steve Bennett",6,16,0,11,0,0,4,3,18,13,5,9,1,1,0,0,10,10,3.3,3.2,1.95,3.2,2.9,1.9,3.4,3.25,1.9,3.75,3.25,1.83,3.75,3.2,1.83
"89","E0",2000-10-16,"Middlesbrough","Newcastle",1,3,"A",0,1,"A",31436,"Steve Dunn",8,15,2,8,0,0,6,6,8,13,4,4,2,1,0,0,20,10,2.45,3.1,2.55,2.4,2.9,2.4,2.35,3.2,2.6,2.38,3.2,2.63,2.5,3.1,2.5
"90","E0",2000-10-21,"Bradford","Ipswich",0,2,"A",0,1,"A",17045,"Paul Taylor",7,12,3,3,0,1,9,1,15,14,6,3,1,0,0,0,10,0,2.3,3.15,2.75,2.2,2.9,2.7,2.35,3.2,2.6,2.38,3,2.75,2.25,3.2,2.75
"91","E0",2000-10-21,"Charlton","Middlesbrough",1,0,"H",0,0,"D",20043,"Mike Riley",5,8,2,6,0,0,5,6,11,19,4,2,2,2,0,0,20,20,2.2,3.25,2.8,2.2,2.9,2.7,2.2,3.25,2.75,2.2,3.2,2.88,2.1,3.2,3
"92","E0",2000-10-21,"Chelsea","Coventry",6,1,"H",2,0,"H",34646,"Steve Lodge",33,3,19,3,1,0,10,0,6,8,3,5,0,1,0,1,0,35,1.4,3.8,6.5,1.5,3.4,4.7,1.4,3.75,7,1.4,3.75,7.5,1.4,3.6,7.5
"93","E0",2000-10-21,"Liverpool","Leicester",1,0,"H",0,0,"D",44395,"Andy D'Urso",24,8,11,3,0,0,10,9,8,10,1,3,1,2,0,0,10,20,1.5,3.5,5.5,1.5,3.4,4.7,1.5,3.4,6,1.53,3.5,5.5,1.5,3.4,6
"94","E0",2000-10-21,"Man United","Leeds",3,0,"H",1,0,"H",67523,"Jeff Winter",26,5,14,0,0,0,12,4,9,18,1,9,0,2,0,0,0,20,1.5,3.55,6,1.5,3.4,4.7,1.55,3.5,5,1.4,3.6,6,1.44,3.6,6.5
"95","E0",2000-10-21,"Newcastle","Everton",0,1,"A",0,0,"D",51625,"Mark Halsey",11,9,4,4,0,0,5,4,9,12,3,3,1,3,0,0,10,30,1.6,3.4,5,1.55,3.3,4.5,1.5,3.4,6,1.53,3.4,6,1.53,3.4,5.5
