"","season","team","name","MV"
"129","20062007","Arsenal","Justin Hoyte",720000
"130","20062007","Arsenal","Kerrea Gilbert",180000
"131","20062007","Arsenal","Gavin Hoyte",0
"132","20062007","Arsenal","Gilberto Silva",6980000
"133","20062007","Arsenal","Mathieu Flamini",4500000
"134","20062007","Arsenal","Alex Song",3600000
"135","20062007","Arsenal","Denílson",0
"136","20062007","Arsenal","Cesc Fàbregas",12150000
"137","20062007","Arsenal","Abou Diaby",2700000
"138","20062007","Arsenal","Henri Lansbury",0
"139","20062007","Arsenal","Mark Randall",0
"140","20062007","Arsenal","Júlio Baptista",1.8e+07
"141","20062007","Arsenal","Freddie Ljungberg",12600000
"142","20062007","Arsenal","Aleksandr Hleb",10130000
"143","20062007","Arsenal","Tomás Rosicky",9900000
"144","20062007","Arsenal","Theo Walcott",6750000
"145","20062007","Arsenal","Georgios Efrem",0
"146","20062007","Arsenal","Thierry Henry",4.5e+07
"147","20062007","Arsenal","Emmanuel Adebayor",9e+06
"148","20062007","Arsenal","Robin van Persie",7650000
"149","20062007","Arsenal","Jérémie Aliadière",1130000
"150","20062007","Tottenham","Paul Robinson",8100000
"151","20062007","Tottenham","Radek Cerny",540000
"152","20062007","Tottenham","Márton Fülöp †",360000
"153","20062007","Tottenham","Ben Alnwick",180000
"154","20062007","Tottenham","Robert Burch",45000
"155","20062007","Tottenham","Ledley King",11250000
"156","20062007","Tottenham","Michael Dawson",5850000
"157","20062007","Tottenham","Ricardo Rocha",3600000
"158","20062007","Tottenham","Anthony Gardner",2250000
"159","20062007","Tottenham","Calum Davenport",1350000
"160","20062007","Tottenham","Reto Ziegler",1310000
"161","20062007","Tottenham","Dorian Dervite",315000
"162","20062007","Tottenham","Leigh Mills",225000
"163","20062007","Tottenham","Young-Pyo Lee",3870000
"164","20062007","Tottenham","Benoît Assou-Ekotto",2520000
"165","20062007","Tottenham","Pascal Chimbonda",3600000
"166","20062007","Tottenham","Paul Stalteri",3600000
"167","20062007","Tottenham","Philip Ifil",743000
"168","20062007","Tottenham","Didier Zokora",11250000
"169","20062007","Tottenham","Tom Huddlestone",3330000
"170","20062007","Tottenham","Teemu Tainio",3150000
