"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTGS","ATGS","HTGC","ATGC","HTP","ATP","HM1","HM2","HM3","HM4","HM5","AM1","AM2","AM3","AM4","AM5","HomeTeamLP","AwayTeamLP","MW","HTWinStreak3","HTWinStreak5","HTLossStreak3","HTLossStreak5","ATWinStreak3","ATWinStreak5","ATLossStreak3","ATLossStreak5","HTGD","ATGD","DiffPts","DiffFormPts","DiffLP"
"25",2000-08-26,"Middlesbrough","Leeds",1,2,"A",4,4,2,1,1.33333333333333,2,"1","4","0","0","0","3","6","0","0","0",12,3,3,0,0,1,1,0,0,1,1,0.666666666666667,1,-0.666666666666667,-0.666666666666667,9
"26",2000-08-26,"Newcastle","Tottenham",2,0,"H",3,4,4,2,1,1.33333333333333,"3","3","0","0","0","1","4","0","0","0",11,10,3,0,0,1,1,0,0,1,1,-0.333333333333333,0.666666666666667,-0.333333333333333,-0.333333333333333,1
"27",2000-08-26,"Southampton","Liverpool",3,3,"D",3,1,4,2,0.333333333333333,1,"0","1","0","0","0","0","3","0","0","0",15,4,3,0,0,1,1,0,0,1,1,-0.333333333333333,-0.333333333333333,-0.666666666666667,-0.666666666666667,11
"28",2000-08-26,"WestHam","ManUnited",2,2,"D",2,3,5,1,0,1.33333333333333,"0","0","0","0","0","1","4","0","0","0",9,1,3,0,0,1,1,0,0,1,1,-1,0.666666666666667,-1.33333333333333,-1.33333333333333,8
"29",2000-08-27,"AstonVilla","Chelsea",1,1,"D",1,4,1,4,0.666666666666667,1,"1","2","0","0","0","0","3","0","0","0",6,5,3,0,0,1,1,0,0,1,1,0,0,-0.333333333333333,-0.333333333333333,1
"30",2000-09-05,"Leeds","ManCity",1,2,"A",4,4,1,6,2,1,"3","6","0","0","0","3","3","0","0","0",3,18,3,0,0,1,1,0,0,1,1,1,-0.666666666666667,1,1,-15
"31",2000-09-05,"ManUnited","Bradford",6,0,"H",5,2,3,1,1.25,1,"1","2","5","0","0","1","4","4","0","0",1,17,4,0,0,0,1,0,0,0,1,0.5,0.25,0.25,0.25,-16
"32",2000-09-05,"Sunderland","WestHam",1,1,"D",3,4,5,7,0.75,0.25,"0","0","3","0","0","1","1","1","0","0",7,9,4,0,0,0,1,0,0,0,1,-0.5,-0.75,0.5,0.5,-2
"33",2000-09-05,"Tottenham","Everton",3,2,"H",4,5,4,4,1,1,"0","1","4","0","0","1","4","4","0","0",10,13,4,0,0,0,1,0,0,0,1,0,0.25,0,0,-3
"34",2000-09-06,"Charlton","Southampton",1,1,"D",7,6,8,7,0.75,0.5,"0","0","3","0","0","1","1","2","0","0",18,15,4,0,0,0,1,0,0,0,1,-0.25,-0.25,0.25,0.25,3
"35",2000-09-06,"Chelsea","Arsenal",2,2,"D",5,7,5,4,1,1.5,"1","1","4","0","0","3","6","6","0","0",5,2,4,0,0,0,1,0,0,0,1,0,0.75,-0.5,-0.5,3
"36",2000-09-06,"Coventry","Newcastle",0,2,"A",5,5,5,4,1.5,1.5,"3","6","6","0","0","3","6","6","0","0",14,11,4,0,0,0,1,0,0,0,1,0,0.25,0,0,3
"37",2000-09-06,"Derby","Middlesbrough",3,3,"D",6,5,7,4,0.5,1,"1","1","2","0","0","0","1","4","0","0",16,12,4,0,0,0,1,0,0,0,1,-0.25,0.25,-0.5,-0.5,4
"38",2000-09-06,"Leicester","Ipswich",2,1,"H",1,3,0,4,1.25,1,"1","4","5","0","0","3","4","4","0","0",8,18,4,0,0,0,1,0,0,0,1,0.25,-0.25,0.25,0.25,-10
"39",2000-09-06,"Liverpool","AstonVilla",3,1,"H",4,2,5,4,1,0.5,"1","1","4","0","0","0","1","2","0","0",4,6,4,0,0,0,1,0,0,0,1,-0.25,-0.5,0.5,0.5,-2
"40",2000-09-09,"Bradford","Arsenal",1,1,"D",2,7,1,4,1,1.5,"1","4","4","0","0","3","6","6","0","0",17,2,4,0,0,0,1,0,0,0,1,0.25,0.75,-0.5,-0.5,15
"41",2000-09-09,"Coventry","Leeds",0,0,"D",5,5,7,3,1.2,1.4,"0","3","6","6","0","1","1","4","7","0",14,3,5,0,0,0,1,0,0,0,1,-0.4,0.4,-0.2,-0.2,11
"42",2000-09-09,"Ipswich","AstonVilla",1,2,"A",4,4,6,5,0.8,1,"0","3","4","4","0","3","3","4","5","0",18,6,5,0,0,0,1,0,0,0,1,-0.4,-0.2,-0.2,-0.2,12
"43",2000-09-09,"Leicester","Southampton",1,0,"H",3,7,1,8,1.6,0.6,"3","4","7","8","0","1","2","2","3","0",8,15,5,0,0,0,1,0,0,0,1,0.4,-0.2,1,1,-7
"44",2000-09-09,"Liverpool","ManCity",3,2,"H",7,7,6,9,1.4,1.2,"3","4","4","7","0","3","3","6","6","0",4,18,5,0,0,0,1,0,0,0,1,0.2,-0.4,0.2,0.2,-14
"45",2000-09-09,"ManUnited","Sunderland",3,0,"H",11,4,3,6,1.6,0.8,"3","4","5","8","0","1","1","1","4","0",1,7,5,0,0,0,1,0,0,0,1,1.6,-0.4,0.8,0.8,-6
"46",2000-09-09,"Middlesbrough","Everton",1,2,"A",8,7,7,7,1,0.8,"1","1","2","5","0","0","1","4","4","0",12,13,5,0,0,0,1,0,0,0,1,0.2,0,0.2,0.2,-1
"47",2000-09-09,"Newcastle","Chelsea",0,0,"D",7,7,4,7,1.8,1,"3","6","9","9","0","1","2","2","5","0",11,5,5,1,0,0,1,0,0,0,1,0.6,0,0.8,0.8,6
