"","match_date","FTR","IWH","IWD","IWA","hg1_score","hd1_score","hd2_score","hd3_score","hd4_score","hd5_score","hd6_score","hd7_score","hm1_score","hm2_score","hm3_score","hm4_score","hm5_score","hm6_score","hm7_score","hf1_score","hf2_score","hf3_score","hf4_score","ag1_score","ad1_score","ad2_score","ad3_score","ad4_score","ad5_score","ad6_score","ad7_score","am1_score","am2_score","am3_score","am4_score","am5_score","am6_score","am7_score","af1_score","af2_score","af3_score","af4_score","af5_score","ad8_score","hd8_score","FTR_H","FTR_A","FTR_D"
"1537","2008-08-31","D","3","3.1","2.2",80,74,76,79,84,83,75,0,77,77,0,0,0,0,0,81,81,0,0,84,77,78,80,85,76,0,0,85,82,80,0,0,0,0,83,88,0,0,0,0,0,0,0,1
"1538","2008-08-31","D","1.4","4","6.5",88,77,85,88,82,83,0,0,84,85,86,86,0,0,0,83,0,0,0,82,69,77,80,77,81,0,0,82,79,82,78,0,0,0,79,0,0,0,0,0,0,0,0,1
"1539","2008-08-31","A","2.2","3.1","3",81,71,76,71,72,76,0,0,65,75,73,0,0,0,0,78,78,0,0,78,74,82,80,79,73,0,0,72,75,77,81,0,0,0,81,0,0,0,0,0,0,0,1,0
"1540","2008-09-13","A","3.8","3.2","1.85",78,70,76,77,77,75,77,0,65,80,0,0,0,0,0,74,83,0,0,79,78,84,82,85,83,0,0,76,88,79,0,0,0,0,86,85,0,0,0,0,0,0,1,0
"1541","2008-09-13","H","2.2","3.1","3",75,72,72,79,67,0,0,0,78,75,75,74,0,0,0,80,73,0,0,78,69,75,71,72,70,0,0,70,72,76,79,0,0,0,75,0,0,0,0,0,0,1,0,0
"1542","2008-09-13","H","2.6","3","2.6",84,77,80,76,85,0,0,0,78,85,79,82,80,0,0,83,0,0,0,85,80,86,87,84,0,0,0,82,83,85,0,0,0,0,86,87,85,0,0,0,0,1,0,0
"1543","2008-09-13","A","3.8","3.2","1.85",78,82,78,80,79,73,0,0,72,75,81,0,0,0,0,81,85,0,0,88,85,88,82,83,0,0,0,84,85,86,81,0,0,0,83,83,0,0,0,0,0,0,1,0
"1544","2008-09-13","A","1.6","3.6","4.8",83,61,77,81,0,0,0,0,73,76,74,75,0,0,0,71,81,75,0,73,70,70,69,72,67,0,0,67,73,65,0,0,0,0,66,74,0,0,0,0,0,0,1,0
"1545","2008-09-13","H","1.9","3.2","3.6",83,78,74,78,77,69,0,0,73,81,75,0,0,0,0,76,81,0,0,70,77,72,71,71,0,0,0,72,81,74,83,0,0,0,73,76,0,0,0,0,0,1,0,0
"1546","2008-09-13","H","2.4","3.2","2.6",77,66,70,68,69,0,0,0,70,69,73,68,74,0,0,70,0,0,0,80,70,71,79,79,78,0,0,75,80,75,0,0,0,0,81,72,0,0,0,0,0,1,0,0
"1547","2008-09-13","D","2.1","3.1","3.2",77,75,69,73,67,72,78,0,69,75,0,0,0,0,0,77,71,0,0,81,76,76,72,76,71,0,0,75,73,72,0,0,0,0,78,78,0,0,0,0,0,0,0,1
"1548","2008-09-14","A","3.1","3.2","2.1",73,74,67,72,70,66,69,0,72,67,0,0,0,0,0,74,76,0,0,82,82,78,76,80,0,0,0,82,68,75,80,0,0,0,73,84,0,0,0,0,0,0,1,0
"1549","2008-09-15","A","2","3.2","3.3",82,81,77,76,80,77,77,0,80,82,0,0,0,0,0,79,81,0,0,80,74,76,79,84,83,75,0,77,77,0,0,0,0,0,81,81,0,0,0,0,0,0,1,0
