"","name","MV","season"
"150","Paul Robinson",8100000,"20062007"
"151","Radek Cerny",540000,"20062007"
"152","Márton †",360000,"20062007"
"153","Ben Alnwick",180000,"20062007"
"154","Robert Burch",45000,"20062007"
"155","Ledley King",11250000,"20062007"
"156","Michael Dawson",5850000,"20062007"
"157","Ricardo Rocha",3600000,"20062007"
"158","Anthony Gardner",2250000,"20062007"
"159","Calum Davenport",1350000,"20062007"
"160","Reto Ziegler",1310000,"20062007"
"161","Dorian Dervite",315000,"20062007"
"162","Leigh Mills",225000,"20062007"
"163","Young-Pyo Lee",3870000,"20062007"
"164","Benoît Assou-Ekotto",2520000,"20062007"
"165","Pascal Chimbonda",3600000,"20062007"
"166","Paul Stalteri",3600000,"20062007"
"167","Philip Ifil",743000,"20062007"
"168","Didier Zokora",11250000,"20062007"
"169","Tom Huddlestone",3330000,"20062007"
"170","Teemu Tainio",3150000,"20062007"
"171","Jermaine Jenas",11430000,"20062007"
"172","Steed Malbranque",7380000,"20062007"
"173","Edgar Davids",6750000,"20062007"
"174","Danny Murphy",5400000,"20062007"
"175","Hossam Ghaly",2700000,"20062007"
"176","Charlie Lee",45000,"20062007"
"177","Jamie O'Hara",0,"20062007"
"178","Adel Taarabt",0,"20062007"
"179","Mark Yeates",68000,"20062007"
"180","Andy Barcham",0,"20062007"
"181","Aaron Lennon",3150000,"20062007"
"182","Dimitar Berbatov",15300000,"20062007"
"183","Jermain Defoe",10980000,"20062007"
"184","Robbie Keane",9630000,"20062007"
"185","Mi",9450000,"20062007"
"186","Tomás Pekhart",450000,"20062007"
"187","Lee Barnard",45000,"20062007"
"188","Shay Given",7200000,"20062007"
"189","Steve Harper",1170000,"20062007"
"190","Pavel †",9e+05,"20062007"
"191","Tim Krul",225000,"20062007"
"192","Fraser Forster",0,"20062007"
"193","Oguchi Onyewu",4500000,"20062007"
"194","Titus Bramble",3870000,"20062007"
"195","Abdoulaye Fayé",2160000,"20062007"
"196","Peter Ramage",1800000,"20062007"
"197","Steven Taylor",1800000,"20062007"
"198","Craig Moore",720000,"20062007"
"199","David Edgar",0,"20062007"
"200","Paul Huntington",0,"20062007"
"201","Celestine Babayaro",3600000,"20062007"
"202","Olivier Bernard",2700000,"20062007"
"203","Stephen Carr",3600000,"20062007"
"204","Scott Parker",11700000,"20062007"
"205","Emre Belözoglu",10800000,"20062007"
"206","James Milner",4230000,"20062007"
"207","Nicky Butt",3060000,"20062007"
"208","Matthew Pattison",45000,"20062007"
"209","Damien Duff",13500000,"20062007"
"210","Kieron Dyer",9e+06,"20062007"
"211","Nolberto Solano",5040000,"20062007"
"212","Antoine Sibierski",1980000,"20062007"
"213","Albert Luque",9e+06,"20062007"
"214","James Troisi",0,"20062007"
"215","Alan O'Brien",0,"20062007"
"216","Charles N'Zogbia",3150000,"20062007"
"217","Lomana LuaLua",4950000,"20062007"
"218","Michael Owen",1.8e+07,"20062007"
"219","Obafemi Martins",10800000,"20062007"
"220","Shola Ameobi",5850000,"20062007"
"221","Giuseppe Rossi",1670000,"20062007"
"222","Andy Carroll",0,"20062007"
"223","Thomas Sörensen",5580000,"20062007"
"224","Gábor Király",2480000,"20062007"
"225","Stuart Taylor",855000,"20062007"
"226","Bobby Olejnik",90000,"20062007"
"227","Olof Mellberg",6530000,"20062007"
"228","Martin Laursen",3960000,"20062007"
"229","Aaron Hughes",2480000,"20062007"
"230","Liam Ridgewell",1980000,"20062007"
"231","Gary Cahill",315000,"20062007"
"232","Wilfred Bouma",4320000,"20062007"
"233","Mark Delaney",1530000,"20062007"
"234","Phil Bardsley",68000,"20062007"
"235","Gareth Barry",3830000,"20062007"
"236","Jlloyd Samuel",2700000,"20062007"
"237","Eric Djemba-Djemba",1800000,"20062007"
"238","Isaiah Osbourne",0,"20062007"
"239","Stiliyan Petrov",6620000,"20062007"
"240","Gavin McCann",3150000,"20062007"
"241","Steven Davis",3150000,"20062007"
"242","Peter Whittingham",765000,"20062007"
"243","Craig Gardner",90000,"20062007"
"244","Didier Agathé",1350000,"20062007"
"245","Lee Hendrie",1980000,"20062007"
"246","Ashley Young",1350000,"20062007"
"247","Patrik Berger",2700000,"20062007"
"248","Shaun Maloney",2700000,"20062007"
"249","Milan Baros",8100000,"20062007"
"250","John Carew",6750000,"20062007"
"251","Juan Ángel",5850000,"20062007"
"252","Kevin Phillips",3150000,"20062007"
"253","Chris Sutton",2970000,"20062007"
"254","Luke Moore",1800000,"20062007"
"255","Gabriel Agbonlahor",90000,"20062007"
"256","Sam Williams",0,"20062007"
"257","Robert Green",4500000,"20062007"
"258","Roy Carroll",2430000,"20062007"
"259","Jimmy Walker",540000,"20062007"
"260","Javier Mascherano",10620000,"20062007"
"261","Matthew Upson",5180000,"20062007"
"262","Anton Ferdinand",3150000,"20062007"
"263","Lucas Neill",2700000,"20062007"
"264","Christian Dailly",1800000,"20062007"
"265","Calum Davenport",1350000,"20062007"
"266","Danny Gabbidon",9e+05,"20062007"
"267","James Collins",450000,"20062007"
"268","Paul Konchesky",3600000,"20062007"
"269","George McCartney",450000,"20062007"
"270","Jonathan Spector",1130000,"20062007"
"271","John Paintsil",675000,"20062007"
"272","Tyrone Mears",360000,"20062007"
"273","Nigel Reo-Coker",3150000,"20062007"
"274","Hayden Mullins",630000,"20062007"
"275","Lee Bowyer",3490000,"20062007"
"276","Nigel Quashie",1800000,"20062007"
"277","Mark Noble",720000,"20062007"
"278","Tony Stokes",45000,"20062007"
"279","Shaun Newton",450000,"20062007"
"280","Luís Morte",3150000,"20062007"
"281","Matthew Etherington",2700000,"20062007"
"282","Hogan Ephraim",90000,"20062007"
"283","Kyel Reid",45000,"20062007"
"284","Yossi Benayoun",4050000,"20062007"
"285","Carlos Tévez",13500000,"20062007"
"286","Dean Ashton",9e+06,"20062007"
"287","Marlon Harewood",4950000,"20062007"
"288","Bobby Zamora",3150000,"20062007"
"289","Carlton Cole",2700000,"20062007"
"290","Kepa Blanco",1350000,"20062007"
"291","Teddy Sheringham",450000,"20062007"
"292","Tim Howard",2160000,"20062007"
"293","Richard Wright",1130000,"20062007"
"294","Iain Turner",108000,"20062007"
"295","Joleon Lescott",7200000,"20062007"
"296","Joseph Yobo",4680000,"20062007"
"297","Alan Stubbs",1040000,"20062007"
"298","David Weir",9e+05,"20062007"
"299","Mark Hughes",90000,"20062007"
"300","Nuno Valente",3380000,"20062007"
"301","Alessandro Pistone",2250000,"20062007"
"302","Gary Naysmith",1260000,"20062007"
"303","Paddy Boyle",0,"20062007"
"304","Phil Neville",4050000,"20062007"
"305","Tony Hibbert",3830000,"20062007"
"306","Andy Holt",0,"20062007"
"307","Lee Carsley",2030000,"20062007"
"308","Anderson Silva",450000,"20062007"
"309","Mikel Arteta",6080000,"20062007"
"310","Manuel Fernandes",5400000,"20062007"
"311","Leon Osman",2700000,"20062007"
"312","Bjarni Vidarsson",0,"20062007"
"313","Simon Davies",3330000,"20062007"
"314","Kevin Kilbane",4050000,"20062007"
"315","Tim Cahill",7650000,"20062007"
"316","Andy van Meyde",7200000,"20062007"
"317","James McFadden",2930000,"20062007"
"318","Andy Johnson",9900000,"20062007"
"319","James Beattie",7070000,"20062007"
