"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTGS","ATGS","HTGC","ATGC","HTP","ATP","HTS","ATS","HTST","ATST","home_start_mv","away_start_mv","HomeTeamLP","AwayTeamLP","HomeAvgAge","AwayAvgAge","HomeAvgMV","AwayAvgMV","MW","HM1","AM1","HM2","AM2","HM3","AM3","HM4","AM4","HM5","AM5","HM10","AM10","HM20","AM20","HMH1","AMA1","Distance","HTGD","ATGD","DiffPts","DiffLP"
"2301","2006-08-26","Liverpool","WestHam","2","1","H","3","4","2","2",0.333333333333333,1.33333333333333,10.3333333333333,8,5,3,92703000,29501000,3,9,23.6,25.1,5.89,2.55,3,0,1,1,4,0,0,0,0,0,0,0,0,0,0,3,1,290,0.333333333333333,0.666666666666667,-1,-6
"2302","2006-08-26","ManCity","Arsenal","1","0","H","0","1","3","2",0.333333333333333,0.333333333333333,3.66666666666667,12,1.66666666666667,5.66666666666667,36720000,79935000,15,4,24.4,22.8,2.72,5.69,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,257,-1,-0.333333333333333,0,11
"2303","2006-08-26","Tottenham","Everton","0","2","A","2","3","2","2",1,1.33333333333333,9,5.33333333333333,6.33333333333333,2,64712000,41861000,5,11,23.1,25,4.06,3.31,3,3,1,3,4,0,0,0,0,0,0,0,0,0,0,3,1,283,0,0.333333333333333,-0.333333333333333,-6
"2304","2006-08-26","Watford","ManUnited","1","2","A","2","8","3","1",0.333333333333333,2,7.66666666666667,12,4,6,8870000,93061000,18,2,23.1,24.2,0.412,6.24,3,1,3,1,6,0,0,0,0,0,0,0,0,0,0,1,3,239,-0.333333333333333,2.33333333333333,-1.66666666666667,16
"2305","2006-08-26","Wigan","Reading","1","0","H","2","4","2","4",0,1,9.66666666666667,6.33333333333333,4.66666666666667,4,31416000,7292000,10,18,26,24,1.67,0.622,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,262,0,0,-1,-8
"2306","2006-08-27","AstonVilla","Newcastle","2","0","H","3","2","2","3",1.33333333333333,1,5.33333333333333,5.66666666666667,3,4.33333333333333,23688000,64261000,16,7,24.8,25,2.73,4.66,3,3,0,4,3,0,0,0,0,0,0,0,0,0,0,3,0,275,0.333333333333333,-0.333333333333333,0.333333333333333,9
"2307","2006-08-27","Blackburn","Chelsea","0","2","A","1","4","4","2",0.333333333333333,1,6.33333333333333,6,4,3,33351000,224781000,6,1,26.6,23.2,2.25,9.82,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,294,-1,0.666666666666667,-0.666666666666667,5
"2308","2006-08-28","Middlesbrough","Portsmouth","0","4","A","4","3","4","0",1,1.33333333333333,5.33333333333333,8,2.33333333333333,5.66666666666667,32451000,29132000,14,17,23.2,26.4,2.49,2.71,3,3,1,3,4,0,0,0,0,0,0,0,0,0,0,3,1,421,0,1,-0.333333333333333,-3
"2309","2006-09-09","Arsenal","Middlesbrough","1","1","D","1","4","2","4",0.333333333333333,1,12,5.33333333333333,5.66666666666667,2.33333333333333,105044000,38802000,4,14,22.8,23.2,5.69,2.49,3,0,3,1,3,0,0,0,0,0,0,0,0,0,0,1,0,345,-0.333333333333333,0,-0.666666666666667,-10
"2310","2006-09-09","Bolton","Watford","1","0","H","3","2","1","3",1,0.333333333333333,4,7.66666666666667,2.33333333333333,4,23195000,11255000,8,18,24.6,23.1,1.65,0.412,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,3,0,259,0.666666666666667,-0.333333333333333,0.666666666666667,-10
