"","name","MV","season"
"107","Luis GarcíaL. García","£9.00m  ","20062007"
"108","Jermaine PennantJ. Pennant","£4.95m  ","20062007"
"109","Nabil El ZharN. El Zhar"," ","20062007"
"110","Peter CrouchP. Crouch","£9.45m  ","20062007"
"111","Robbie FowlerR. Fowler","£4.05m  ","20062007"
"112","Florent Sinama-PongolleF. Sinama-Pongolle","£1.80m  ","20062007"
"113","Jens LehmannJ. Lehmann","£4.95m  ","20062007"
"114","Mart PoomMart Poom","£900k  ","20062007"
"115","Manuel AlmuniaM. Almunia","£720k  ","20062007"
"116","Vito MannoneV. Mannone","£450k  ","20062007"
"117","William GallasW. Gallas","£13.23m  ","20062007"
"118","Kolo TouréK. Touré","£9.00m  ","20062007"
"119","Philippe SenderosP. Senderos","£5.40m  ","20062007"
"120","Pascal CyganP. Cygan","£1.26m  ","20062007"
"121","Johan DjourouJ. Djourou","£540k  ","20062007"
"122","Matthew ConnollyM. Connolly","£45k  ","20062007"
"123","Joe O'CearuillJ. O'Cearuill"," ","20062007"
"124","Gaël ClichyG. Clichy","£1.80m  ","20062007"
"125","Armand TraoréA. Traoré","£90k  ","20062007"
"126","Kieran GibbsK. Gibbs"," ","20062007"
"127","LaurénLaurén","£5.85m  ","20062007"
"128","Emmanuel EbouéE. Eboué","£4.05m  ","20062007"
"129","Justin HoyteJ. Hoyte","£720k  ","20062007"
"130","Kerrea GilbertK. Gilbert","£180k  ","20062007"
"131","Gavin HoyteG. Hoyte"," ","20062007"
"132","Gilberto SilvaG. Silva","£6.98m  ","20062007"
"133","Mathieu FlaminiM. Flamini","£4.50m  ","20062007"
"134","Alex SongAlex Song","£3.60m  ","20062007"
"135","DenílsonDenílson"," ","20062007"
"136","Cesc FàbregasC. Fàbregas","£12.15m  ","20062007"
"137","Abou DiabyA. Diaby","£2.70m  ","20062007"
"138","Henri LansburyH. Lansbury"," ","20062007"
"139","Mark RandallM. Randall"," ","20062007"
"140","Júlio BaptistaJ. Baptista","£18.00m  ","20062007"
"141","Freddie LjungbergF. Ljungberg","£12.60m  ","20062007"
"142","Aleksandr HlebA. Hleb","£10.13m  ","20062007"
"143","Tomás RosickyT. Rosicky","£9.90m  ","20062007"
"144","Theo WalcottT. Walcott","£6.75m  ","20062007"
"145","Georgios EfremG. Efrem"," ","20062007"
"146","Thierry HenryT. Henry","£45.00m  ","20062007"
"147","Emmanuel AdebayorE. Adebayor","£9.00m  ","20062007"
"148","Robin van PersieR. van Persie","£7.65m  ","20062007"
"149","Jérémie AliadièreJ. Aliadière","£1.13m  ","20062007"
"150","Paul RobinsonP. Robinson","£8.10m  ","20062007"
"151","Radek CernyR. Cerny","£540k  ","20062007"
"152","Márton Fülöp †M. Fülöp †","£360k  ","20062007"
"153","Ben AlnwickB. Alnwick","£180k  ","20062007"
"154","Robert BurchR. Burch","£45k  ","20062007"
"155","Ledley KingL. King","£11.25m  ","20062007"
"156","Michael DawsonM. Dawson","£5.85m  ","20062007"
"157","Ricardo RochaR. Rocha","£3.60m  ","20062007"
"158","Anthony GardnerA. Gardner","£2.25m  ","20062007"
"159","Calum DavenportC. Davenport","£1.35m  ","20062007"
"160","Reto ZieglerR. Ziegler","£1.31m  ","20062007"
"161","Dorian DerviteD. Dervite","£315k  ","20062007"
"162","Leigh MillsL. Mills","£225k  ","20062007"
"163","Young-Pyo LeeY. Lee","£3.87m  ","20062007"
"164","Benoît Assou-EkottoB. Assou-Ekotto","£2.52m  ","20062007"
"165","Pascal ChimbondaP. Chimbonda","£3.60m  ","20062007"
"166","Paul StalteriP. Stalteri","£3.60m  ","20062007"
"167","Philip IfilP. Ifil","£743k  ","20062007"
"168","Didier ZokoraD. Zokora","£11.25m  ","20062007"
"169","Tom HuddlestoneT. Huddlestone","£3.33m  ","20062007"
"170","Teemu TainioT. Tainio","£3.15m  ","20062007"
"171","Jermaine JenasJ. Jenas","£11.43m  ","20062007"
"172","Steed MalbranqueS. Malbranque","£7.38m  ","20062007"
"173","Edgar DavidsE. Davids","£6.75m  ","20062007"
"174","Danny MurphyD. Murphy","£5.40m  ","20062007"
"175","Hossam GhalyH. Ghaly","£2.70m  ","20062007"
"176","Charlie LeeC. Lee","£45k  ","20062007"
"177","Jamie O'HaraJ. O'Hara"," ","20062007"
"178","Adel TaarabtA. Taarabt"," ","20062007"
"179","Mark YeatesM. Yeates","£68k  ","20062007"
"180","Andy BarchamA. Barcham"," ","20062007"
"181","Aaron LennonA. Lennon","£3.15m  ","20062007"
"182","Dimitar BerbatovD. Berbatov","£15.30m  ","20062007"
"183","Jermain DefoeJ. Defoe","£10.98m  ","20062007"
"184","Robbie KeaneR. Keane","£9.63m  ","20062007"
"185","MidoMido","£9.45m  ","20062007"
"186","Tomás PekhartT. Pekhart","£450k  ","20062007"
"187","Lee BarnardL. Barnard","£45k  ","20062007"
"188","Shay GivenS. Given","£7.20m  ","20062007"
"189","Steve HarperS. Harper","£1.17m  ","20062007"
"190","Pavel Srnicek †P. Srnicek †","£900k  ","20062007"
"191","Tim KrulTim Krul","£225k  ","20062007"
"192","Fraser ForsterF. Forster"," ","20062007"
"193","Oguchi OnyewuO. Onyewu","£4.50m  ","20062007"
"194","Titus BrambleT. Bramble","£3.87m  ","20062007"
"195","Abdoulaye FayéA. Fayé","£2.16m  ","20062007"
"196","Peter RamageP. Ramage","£1.80m  ","20062007"
"197","Steven TaylorS. Taylor","£1.80m  ","20062007"
"198","Craig MooreC. Moore","£720k  ","20062007"
"199","David EdgarD. Edgar"," ","20062007"
"200","Paul HuntingtonP. Huntington"," ","20062007"
"201","Celestine BabayaroC. Babayaro","£3.60m  ","20062007"
"202","Olivier BernardO. Bernard","£2.70m  ","20062007"
"203","Stephen CarrS. Carr","£3.60m  ","20062007"
"204","Scott ParkerS. Parker","£11.70m  ","20062007"
"205","Emre BelözogluE. Belözoglu","£10.80m  ","20062007"
"206","James MilnerJ. Milner","£4.23m  ","20062007"
"207","Nicky ButtN. Butt","£3.06m  ","20062007"
"208","Matthew PattisonM. Pattison","£45k  ","20062007"
"209","Damien DuffD. Duff","£13.50m  ","20062007"
"210","Kieron DyerK. Dyer","£9.00m  ","20062007"
"211","Nolberto SolanoN. Solano","£5.04m  ","20062007"
"212","Antoine SibierskiA. Sibierski","£1.98m  ","20062007"
"213","Albert LuqueA. Luque","£9.00m  ","20062007"
"214","James TroisiJ. Troisi"," ","20062007"
"215","Alan O'BrienA. O'Brien"," ","20062007"
"216","Charles N'ZogbiaC. N'Zogbia","£3.15m  ","20062007"
"217","Lomana LuaLuaL. LuaLua","£4.95m  ","20062007"
"218","Michael OwenM. Owen","£18.00m  ","20062007"
"219","Obafemi MartinsO. Martins","£10.80m  ","20062007"
"220","Shola AmeobiS. Ameobi","£5.85m  ","20062007"
"221","Giuseppe RossiG. Rossi","£1.67m  ","20062007"
"222","Andy CarrollA. Carroll"," ","20062007"
"223","Thomas SörensenT. Sörensen","£5.58m  ","20062007"
"224","Gábor KirályG. Király","£2.48m  ","20062007"
"225","Stuart TaylorS. Taylor","£855k  ","20062007"
